number,results
0,2680000000
1,3910000000
2,3620000000
3,3380000000
4,3100000000
5,3070000000
6,2680000000
7,2550000000
8,2490000000
9,2320000000
10,2620000000
11,2100000000
12,2180000000
13,1750000000
14,1770000000
15,1920000000
16,1650000000
17,1550000000
18,1630000000
19,1500000000
20,1860000000
21,1460000000
22,1400000000
23,1330000000
24,1460000000
25,1420000000
26,1200000000
27,1180000000
28,1190000000
29,1150000000
30,1640000000
31,1010000000
32,757000000
33,722000000
34,690000000
35,774000000
36,689000000
37,642000000
38,659000000
39,647000000
40,969000000
41,648000000
42,621000000
43,596000000
44,627000000
45,755000000
46,597000000
47,577000000
48,656000000
49,603000000
50,1190000000
51,637000000
52,565000000
53,534000000
54,554000000
55,663000000
56,545000000
57,526000000
58,536000000
59,538000000
60,622000000
61,305000000
62,297000000
63,292000000
64,336000000
65,345000000
66,298000000
67,279000000
68,281000000
69,298000000
70,481000000
71,275000000
72,330000000
73,263000000
74,265000000
75,406000000
76,258000000
77,266000000
78,277000000
79,263000000
80,545000000
81,280000000
82,269000000
83,259000000
84,270000000
85,304000000
86,278000000
87,247000000
88,317000000
89,261000000
90,535000000
91,271000000
92,254000000
93,251000000
94,254000000
95,332000000
96,264000000
97,241000000
98,268000000
99,350000000
100,1050000000
101,171000000
102,127000000
103,121000000
104,123000000
105,136000000
106,115000000
107,110000000
108,117000000
109,109000000
110,182000000
111,118000000
112,116000000
113,103000000
114,106000000
115,126000000
116,98900000
117,96800000
118,99000000
119,103000000
120,265000000
121,94500000
122,95100000
123,121000000
124,92100000
125,140000000
126,99000000
127,89600000
128,117000000
129,90900000
130,146000000
131,83300000
132,85000000
133,81900000
134,78900000
135,106000000
136,84200000
137,77800000
138,81000000
139,88600000
140,192000000
141,79400000
142,74900000
143,74600000
144,83500000
145,86600000
146,78600000
147,73200000
148,74500000
149,82200000
150,341000000
151,74200000
152,76600000
153,71500000
154,69300000
155,82000000
156,71600000
157,70000000
158,70000000
159,74300000
160,168000000
161,67900000
162,66700000
163,86200000
164,66700000
165,83800000
166,65800000
167,65000000
168,76400000
169,72300000
170,112000000
171,64500000
172,65000000
173,63600000
174,64300000
175,87700000
176,64600000
177,62500000
178,64100000
179,69200000
180,163000000
181,61200000
182,60600000
183,59200000
184,59700000
185,75300000
186,58400000
187,60500000
188,64100000
189,64100000
190,88200000
191,57500000
192,67200000
193,56300000
194,55600000
195,67100000
196,56600000
197,56100000
198,58800000
199,77100000
200,467000000
201,86600000
202,69800000
203,72900000
204,65700000
205,71200000
206,69000000
207,63500000
208,63200000
209,58900000
210,90800000
211,61400000
212,70400000
213,59100000
214,60400000
215,67000000
216,65700000
217,53300000
218,55700000
219,56400000
220,116000000
221,57500000
222,63000000
223,56500000
224,58200000
225,90800000
226,52800000
227,52300000
228,53500000
229,58600000
230,82500000
231,53600000
232,54800000
233,53600000
234,52800000
235,60200000
236,70400000
237,50100000
238,49800000
239,52800000
240,125000000
241,49500000
242,49100000
243,47700000
244,47200000
245,57300000
246,50600000
247,49000000
248,48200000
249,53900000
250,218000000
251,48600000
252,50400000
253,46400000
254,46800000
255,59100000
256,61100000
257,43400000
258,44800000
259,46900000
260,68300000
261,47900000
262,45900000
263,44600000
264,50300000
265,50900000
266,43700000
267,42900000
268,43800000
269,45700000
270,67200000
271,40600000
272,42900000
273,40200000
274,40900000
275,51200000
276,40000000
277,40300000
278,39000000
279,42100000
280,74900000
281,43100000
282,39700000
283,39600000
284,39600000
285,46600000
286,38300000
287,38500000
288,43300000
289,40700000
290,55700000
291,38600000
292,37600000
293,37300000
294,37400000
295,45200000
296,37700000
297,43400000
298,39500000
299,53900000
300,411000000
301,56700000
302,44100000
303,46800000
304,44700000
305,47700000
306,46300000
307,41800000
308,42800000
309,39200000
310,58400000
311,40700000
312,44000000
313,39200000
314,38000000
315,52600000
316,38800000
317,37500000
318,39800000
319,38900000
320,129000000
321,40100000
322,36600000
323,39600000
324,43600000
325,44900000
326,35400000
327,34600000
328,36100000
329,36400000
330,59200000
331,44500000
332,38100000
333,48600000
334,34500000
335,39900000
336,37400000
337,34800000
338,36200000
339,35700000
340,53000000
341,33800000
342,36300000
343,36000000
344,36400000
345,41600000
346,34700000
347,33700000
348,33800000
349,39000000
350,120000000
351,38600000
352,36700000
353,35200000
354,33900000
355,45600000
356,34200000
357,34000000
358,35200000
359,34800000
360,173000000
361,33900000
362,31100000
363,31300000
364,31600000
365,67400000
366,32500000
367,30200000
368,31000000
369,32700000
370,44700000
371,32800000
372,34200000
373,31500000
374,31700000
375,45400000
376,29900000
377,31800000
378,31000000
379,32100000
380,54900000
381,33100000
382,30700000
383,31600000
384,32600000
385,37300000
386,31200000
387,29900000
388,30400000
389,31500000
390,42600000
391,29800000
392,29100000
393,28700000
394,27800000
395,33200000
396,28500000
397,27600000
398,29900000
399,42200000
400,306000000
401,39700000
402,33800000
403,34000000
404,40300000
405,37200000
406,32000000
407,32600000
408,32200000
409,29100000
410,43500000
411,37600000
412,32900000
413,30900000
414,33800000
415,34700000
416,34400000
417,28900000
418,29400000
419,32800000
420,64600000
421,31800000
422,29800000
423,30200000
424,29700000
425,43900000
426,34700000
427,29600000
428,28100000
429,29100000
430,40500000
431,29000000
432,31000000
433,29000000
434,27600000
435,36200000
436,26500000
437,27200000
438,26800000
439,26300000
440,42100000
441,28300000
442,27500000
443,27900000
444,32800000
445,30100000
446,25700000
447,25400000
448,27500000
449,30700000
450,105000000
451,28400000
452,25700000
453,26500000
454,26800000
455,29400000
456,28700000
457,25800000
458,28400000
459,25700000
460,41600000
461,29000000
462,26100000
463,25800000
464,28300000
465,28300000
466,37000000
467,24900000
468,28100000
469,26300000
470,37000000
471,25200000
472,25000000
473,25700000
474,24500000
475,28900000
476,24400000
477,24400000
478,25500000
479,26100000
480,79700000
481,27400000
482,23800000
483,24000000
484,24900000
485,27800000
486,24700000
487,24800000
488,25900000
489,32600000
490,35700000
491,23300000
492,23300000
493,23300000
494,23200000
495,45100000
496,24100000
497,23100000
498,24300000
499,43900000
500,392000000
501,43400000
502,30100000
503,30400000
504,30200000
505,32500000
506,30400000
507,27500000
508,30900000
509,27100000
510,41400000
511,29000000
512,41500000
513,26400000
514,28000000
515,29100000
516,26000000
517,25800000
518,26700000
519,26800000
520,46900000
521,25400000
522,28700000
523,23400000
524,23600000
525,32500000
526,29300000
527,23100000
528,24400000
529,24400000
530,36600000
531,24500000
532,25200000
533,26200000
534,24100000
535,28000000
536,22900000
537,22700000
538,22800000
539,24000000
540,43600000
541,24900000
542,23100000
543,23700000
544,23600000
545,25500000
546,22400000
547,21800000
548,21800000
549,25000000
550,64600000
551,24100000
552,24000000
553,22600000
554,23100000
555,40100000
556,22200000
557,22100000
558,21800000
559,22700000
560,40700000
561,23300000
562,29200000
563,20900000
564,20800000
565,23100000
566,21000000
567,21900000
568,22500000
569,22100000
570,33700000
571,22600000
572,20500000
573,21300000
574,23500000
575,25300000
576,24500000
577,22100000
578,20000000
579,20900000
580,34900000
581,22300000
582,20000000
583,20900000
584,20900000
585,25400000
586,21100000
587,20600000
588,22200000
589,22100000
590,34100000
591,22600000
592,21700000
593,21900000
594,21800000
595,24800000
596,21200000
597,20500000
598,22800000
599,31700000
600,213000000
601,28900000
602,27500000
603,25600000
604,26600000
605,25300000
606,26200000
607,23700000
608,27600000
609,22900000
610,33100000
611,22500000
612,24800000
613,22000000
614,22200000
615,31700000
616,23400000
617,24000000
618,23800000
619,22500000
620,47000000
621,27100000
622,22300000
623,20700000
624,22900000
625,28500000
626,23500000
627,20700000
628,21400000
629,20700000
630,44000000
631,22300000
632,21000000
633,22400000
634,20900000
635,23200000
636,23200000
637,20300000
638,22700000
639,21100000
640,94700000
641,20600000
642,21000000
643,19300000
644,24700000
645,22000000
646,24100000
647,20200000
648,22000000
649,21600000
650,60100000
651,21300000
652,19700000
653,19600000
654,19700000
655,23200000
656,20700000
657,18900000
658,19500000
659,19400000
660,34800000
661,21200000
662,20700000
663,21300000
664,20800000
665,21100000
666,28100000
667,20600000
668,20100000
669,19600000
670,28900000
671,19200000
672,20400000
673,19300000
674,19800000
675,24100000
676,19900000
677,20000000
678,23500000
679,22000000
680,32600000
681,20100000
682,22300000
683,21000000
684,19100000
685,20900000
686,20600000
687,19300000
688,20800000
689,19900000
690,31100000
691,19300000
692,19600000
693,18200000
694,18500000
695,20800000
696,19500000
697,18000000
698,18700000
699,27500000
700,120000000
701,24900000
702,23200000
703,24900000
704,22100000
705,21500000
706,19900000
707,22200000
708,19800000
709,19000000
710,25700000
711,21800000
712,19800000
713,20300000
714,20800000
715,20800000
716,19500000
717,20800000
718,21300000
719,19800000
720,61200000
721,20000000
722,19400000
723,19400000
724,20500000
725,21800000
726,18500000
727,21100000
728,22200000
729,18500000
730,26600000
731,19600000
732,21000000
733,18700000
734,19000000
735,20900000
736,41200000
737,20800000
738,17700000
739,18600000
740,25300000
741,18100000
742,18400000
743,17700000
744,18500000
745,19300000
746,17400000
747,19900000
748,18200000
749,19700000
750,71600000
751,19200000
752,18000000
753,17800000
754,17700000
755,21500000
756,18600000
757,19700000
758,17300000
759,17300000
760,27800000
761,17300000
762,17200000
763,17600000
764,17700000
765,20200000
766,18200000
767,18500000
768,41000000
769,17500000
770,27500000
771,22800000
772,17600000
773,18400000
774,18200000
775,21600000
776,17800000
777,32100000
778,17500000
779,17800000
780,29200000
781,18700000
782,17100000
783,16600000
784,17900000
785,18400000
786,17500000
787,21400000
788,17900000
789,19800000
790,23500000
791,16900000
792,16900000
793,16200000
794,16500000
795,18200000
796,16700000
797,16900000
798,17500000
799,25200000
800,211000000
801,24800000
802,20000000
803,18900000
804,18800000
805,20400000
806,18600000
807,18500000
808,21300000
809,18300000
810,27100000
811,18600000
812,24100000
813,18500000
814,17900000
815,19600000
816,19100000
817,17700000
818,21400000
819,20300000
820,27300000
821,18100000
822,18200000
823,16900000
824,16800000
825,19100000
826,17000000
827,16700000
828,18700000
829,16700000
830,22700000
831,18600000
832,17600000
833,17100000
834,15900000
835,17300000
836,16200000
837,16100000
838,17600000
839,16300000
840,28500000
841,16900000
842,17200000
843,18500000
844,18200000
845,18700000
846,16300000
847,17600000
848,17800000
849,18200000
850,46900000
851,17000000
852,21600000
853,19400000
854,18400000
855,26800000
856,17800000
857,15700000
858,17100000
859,16100000
860,22700000
861,16400000
862,15800000
863,18100000
864,19600000
865,17100000
866,37000000
867,15500000
868,16600000
869,16200000
870,20700000
871,16100000
872,16000000
873,15300000
874,15400000
875,18000000
876,15900000
877,27500000
878,16000000
879,15700000
880,25500000
881,16100000
882,16000000
883,16800000
884,15500000
885,16800000
886,21600000
887,15800000
888,46400000
889,17800000
890,22900000
891,16200000
892,15400000
893,16300000
894,15000000
895,16300000
896,15300000
897,15300000
898,16300000
899,21400000
900,105000000
901,21000000
902,20700000
903,18800000
904,18100000
905,20200000
906,16800000
907,16600000
908,17400000
909,18000000
910,22700000
911,31700000
912,18400000
913,17100000
914,17500000
915,18100000
916,18300000
917,17100000
918,18900000
919,18100000
920,27800000
921,17200000
922,17300000
923,16100000
924,17300000
925,25400000
926,17600000
927,16200000
928,18100000
929,16800000
930,22600000
931,16100000
932,15600000
933,16600000
934,15400000
935,16000000
936,16000000
937,16100000
938,15200000
939,15500000
940,22300000
941,16600000
942,15400000
943,15300000
944,16600000
945,17000000
946,15100000
947,14600000
948,15400000
949,17900000
950,36100000
951,17100000
952,17000000
953,15400000
954,17700000
955,16700000
956,15900000
957,14900000
958,15200000
959,15600000
960,39300000
961,17100000
962,17200000
963,16700000
964,18000000
965,18000000
966,17300000
967,15900000
968,18200000
969,15600000
970,25000000
971,18900000
972,20700000
973,18400000
974,17100000
975,17600000
976,17700000
977,18800000
978,31600000
979,16000000
980,30100000
981,17300000
982,15300000
983,15500000
984,15500000
985,17900000
986,16500000
987,16600000
988,17100000
989,16500000
990,29200000
991,16600000
992,17300000
993,17300000
994,17000000
995,18900000
996,18100000
997,17000000
998,19800000
999,47400000
1000,275000000
1001,24300000
1002,12900000
1003,10300000
1004,10100000
1005,10100000
1006,9120000
1007,13900000
1008,10400000
1009,8980000
1010,15700000
1011,10600000
1012,10100000
1013,8790000
1014,8720000
1015,9980000
1016,8890000
1017,8240000
1018,8370000
1019,7770000
1020,14500000
1021,9310000
1022,7960000
1023,8690000
1024,61500000
1025,8710000
1026,7510000
1027,7290000
1028,7720000
1029,7300000
1030,10200000
1031,7620000
1032,7440000
1033,7230000
1034,7000000
1035,7500000
1036,6690000
1037,6780000
1038,6980000
1039,6450000
1040,10600000
1041,6990000
1042,6640000
1043,6580000
1044,6850000
1045,7230000
1046,6660000
1047,6420000
1048,6700000
1049,7120000
1050,19500000
1051,7110000
